證券代號,交易日,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
0050,2021-12-17,4979845,5392,706093154,141.55,142.0,141.2,141.9,0.15,141.9,81,141.95,42,0.0
0051,2021-12-17,66568,63,3979901,59.85,59.95,59.65,59.75,0.05,59.7,4,59.75,2,0.0
0052,2021-12-17,1450274,271,188801030,129.65,130.45,129.65,130.35,0.45,130.35,64,130.5,32,0.0
0053,2021-12-17,5164,31,351693,68.05,68.35,68.05,68.1,0.2,68.1,25,68.3,1,0.0
0054,2021-12-17,1119,25,34542,30.94,30.94,30.94,30.94,0.09,30.69,24,30.95,1,0.0
0055,2021-12-17,599078,335,14546886,24.15,24.34,24.15,24.29,0.14,24.29,15,24.3,9,0.0
0056,2021-12-17,21971694,15915,734500278,33.4,33.47,33.3,33.43,0.02,33.42,74,33.43,138,0.0
0057,2021-12-17,22767,44,2221444,97.7,97.7,97.65,97.65,0.15,97.65,20,98.1,45,0.0
0061,2021-12-17,163086,110,3780285,23.34,23.44,23.09,23.2,0.17,23.15,2,23.2,11,0.0
006203,2021-12-17,1305,41,88470,68.2,68.2,68.2,68.2,0.15,68.1,1,68.15,35,0.0
006204,2021-12-17,24280,47,2167326,89.3,89.35,89.1,89.1,0.35,89.3,50,89.45,1,0.0
006205,2021-12-17,933943,173,35063793,37.7,37.84,37.39,37.44,0.3,37.44,46,37.48,1,0.0
006206,2021-12-17,99057,75,3597917,36.63,36.7,36.19,36.25,0.41,36.24,2,36.3,1,0.0
006207,2021-12-17,29312,45,889403,30.5,30.5,30.27,30.34,0.22,30.27,2,30.34,16,0.0
006208,2021-12-17,1367321,1649,109203802,79.75,80.05,79.5,79.95,0.0,79.95,56,80.0,110,0.0
00625K,2021-12-17,0,0,0,,,,,0.0,8.57,5,8.8,2,0.0
00631L,2021-12-17,1411964,458,195626331,138.05,139.3,137.85,138.8,0.35,138.8,55,138.85,14,0.0
00632R,2021-12-17,54411289,2032,286685078,5.28,5.29,5.25,5.27,0.02,5.26,12838,5.27,12484,0.0
00633L,2021-12-17,5505565,1197,316175442,58.2,58.65,56.75,56.95,1.1,56.95,70,57.0,3,0.0
00634R,2021-12-17,457000,60,1770500,3.83,3.89,3.83,3.88,0.02,3.88,90,3.89,504,0.0
00635U,2021-12-17,394755,209,9448259,23.89,23.98,23.88,23.97,0.29,23.97,1,23.98,224,0.0
00636,2021-12-17,1313179,287,33448226,25.7,25.75,25.34,25.4,0.26,25.4,23,25.41,61,0.0
00636K,2021-12-17,200,2,1820,9.1,9.1,9.1,9.1,0.1,9.08,10,9.16,10,0.0
00637L,2021-12-17,29656033,6337,676266606,23.12,23.28,22.5,22.59,0.41,22.59,449,22.6,32,0.0
00638R,2021-12-17,2037000,114,16239820,7.91,8.01,7.88,8.0,0.08,7.99,108,8.0,20,0.0
00639,2021-12-17,504548,154,8533200,17.01,17.1,16.82,16.85,0.16,16.85,16,16.86,25,0.0
00640L,2021-12-17,368100,146,10949302,29.97,30.04,29.51,29.54,0.79,29.53,2,29.54,26,0.0
00641R,2021-12-17,76000,27,766180,10.03,10.13,10.02,10.13,0.16,10.11,100,10.13,2,0.0
00642U,2021-12-17,3364834,738,42736392,12.68,12.75,12.63,12.63,0.0,12.63,500,12.64,67,0.0
00643,2021-12-17,222638,107,4263286,19.26,19.31,19.02,19.07,0.19,19.07,20,19.08,1,0.0
00643K,2021-12-17,0,0,0,,,,,0.0,4.38,1,4.46,1,0.0
00645,2021-12-17,136254,70,3575373,26.4,26.43,26.19,26.21,0.25,26.18,50,26.19,1,0.0
00646,2021-12-17,448264,361,17904624,39.98,40.02,39.84,39.88,0.47,39.88,3,39.91,37,0.0
00647L,2021-12-17,155297,79,11886238,76.75,76.9,76.15,76.4,1.95,76.35,2,76.4,48,0.0
00648R,2021-12-17,2154000,112,13956880,6.46,6.5,6.46,6.5,0.09,6.49,1,6.5,1332,0.0
00650L,2021-12-17,2916081,687,58335081,20.22,20.47,19.85,19.92,0.21,19.92,6,19.94,2,0.0
00651R,2021-12-17,1122124,41,9035055,8.0,8.07,7.96,8.05,0.02,8.05,47,8.07,147,0.0
00652,2021-12-17,132712,159,3726324,28.34,28.34,27.9,27.91,0.47,27.9,2,27.91,1,0.0
00653L,2021-12-17,661879,353,28874247,44.28,44.44,43.04,43.18,1.31,43.17,1,43.18,42,0.0
00654R,2021-12-17,191000,59,1605950,8.34,8.46,8.32,8.46,0.12,8.46,8,8.47,142,0.0
00655L,2021-12-17,1488925,628,64289387,43.8,44.13,42.65,42.81,0.84,42.81,123,42.82,3,0.0
00656R,2021-12-17,31000,12,226520,7.27,7.33,7.27,7.32,0.08,7.3,245,7.31,2,0.0
00657,2021-12-17,5546,43,190809,34.63,34.63,34.31,34.31,0.54,34.23,1,34.29,30,0.0
00657K,2021-12-17,200,2,2466,12.33,12.33,12.33,12.33,0.19,12.29,10,12.36,10,0.0
00660,2021-12-17,3513,28,104516,29.92,29.92,29.7,29.7,0.39,29.64,22,29.76,40,0.0
00661,2021-12-17,9025,49,323523,36.07,36.07,35.78,35.78,0.46,35.7,3,35.78,13,0.0
00662,2021-12-17,1521489,1008,86689942,57.45,57.45,56.8,56.85,1.7,56.85,74,56.9,14,0.0
00663L,2021-12-17,25000,6,3142500,126.05,126.35,125.3,125.85,0.5,126.05,160,126.3,50,0.0
00664R,2021-12-17,2542378,216,15165521,5.97,5.99,5.95,5.95,0.0,5.95,7483,5.96,275,0.0
00665L,2021-12-17,1019000,300,14589070,14.47,14.65,14.19,14.27,0.15,14.27,1,14.28,39,0.0
